"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","2695","test_login[firefox]","test","Sat Apr 05 02:20:36 GMT 2025","passed","Sat Apr 05 02:20:39 GMT 2025","","test_first","",""
"description of test","607","test_login[chromium]","test","Sat Apr 05 02:20:34 GMT 2025","passed","Sat Apr 05 02:20:34 GMT 2025","","test_first","",""
"description of test","1094","test_login[webkit]","test","Sat Apr 05 02:20:43 GMT 2025","passed","Sat Apr 05 02:20:44 GMT 2025","","test_first","",""
