"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","642","test_login[firefox]","test","Sat Feb 14 04:12:44 UTC 2026","passed","Sat Feb 14 04:12:44 UTC 2026","","test_first","",""
"description of test","593","test_login[chromium]","test","Sat Feb 14 04:12:42 UTC 2026","passed","Sat Feb 14 04:12:42 UTC 2026","","test_first","",""
"description of test","1692","test_login[webkit]","test","Sat Feb 14 04:12:51 UTC 2026","passed","Sat Feb 14 04:12:52 UTC 2026","","test_first","",""
