"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","421","test_login[chromium]","test","Sun Jan 12 02:22:07 GMT 2025","passed","Sun Jan 12 02:22:07 GMT 2025","","test_first","",""
"description of test","710","test_login[firefox]","test","Sun Jan 12 02:22:09 GMT 2025","passed","Sun Jan 12 02:22:10 GMT 2025","","test_first","",""
"description of test","2073","test_login[webkit]","test","Sun Jan 12 02:22:18 GMT 2025","passed","Sun Jan 12 02:22:20 GMT 2025","","test_first","",""
