"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","464","test_login[chromium]","test","Mon Mar 03 02:19:37 GMT 2025","passed","Mon Mar 03 02:19:37 GMT 2025","","test_first","",""
"description of test","920","test_login[webkit]","test","Mon Mar 03 02:19:44 GMT 2025","passed","Mon Mar 03 02:19:44 GMT 2025","","test_first","",""
"description of test","677","test_login[firefox]","test","Mon Mar 03 02:19:38 GMT 2025","passed","Mon Mar 03 02:19:39 GMT 2025","","test_first","",""
