"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","698","test_login[firefox]","test","Wed Jan 14 03:50:33 UTC 2026","passed","Wed Jan 14 03:50:34 UTC 2026","","test_first","",""
"description of test","1294","test_login[webkit]","test","Wed Jan 14 03:50:42 UTC 2026","passed","Wed Jan 14 03:50:44 UTC 2026","","test_first","",""
"description of test","610","test_login[chromium]","test","Wed Jan 14 03:50:31 UTC 2026","passed","Wed Jan 14 03:50:32 UTC 2026","","test_first","",""
