"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","862","test_login[firefox]","test","Fri Jun 13 03:15:09 GMT 2025","passed","Fri Jun 13 03:15:10 GMT 2025","","test_first","",""
"description of test","442","test_login[chromium]","test","Fri Jun 13 03:15:08 GMT 2025","passed","Fri Jun 13 03:15:08 GMT 2025","","test_first","",""
"description of test","1091","test_login[webkit]","test","Fri Jun 13 03:15:13 GMT 2025","passed","Fri Jun 13 03:15:14 GMT 2025","","test_first","",""
