"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","563","test_login[webkit]","test","Thu May 14 05:50:35 UTC 2026","passed","Thu May 14 05:50:36 UTC 2026","","test_first","",""
"description of test","742","test_login[firefox]","test","Thu May 14 05:50:32 UTC 2026","passed","Thu May 14 05:50:32 UTC 2026","","test_first","",""
"description of test","490","test_login[chromium]","test","Thu May 14 05:50:30 UTC 2026","passed","Thu May 14 05:50:30 UTC 2026","","test_first","",""
