"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","1421","test_login[webkit]","test","Tue May 06 03:06:03 GMT 2025","passed","Tue May 06 03:06:04 GMT 2025","","test_first","",""
"description of test","329","test_login[chromium]","test","Tue May 06 03:05:55 GMT 2025","passed","Tue May 06 03:05:55 GMT 2025","","test_first","",""
"description of test","681","test_login[firefox]","test","Tue May 06 03:05:57 GMT 2025","passed","Tue May 06 03:05:58 GMT 2025","","test_first","",""
