"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","793","test_login[webkit]","test","Thu Nov 20 03:12:04 UTC 2025","passed","Thu Nov 20 03:12:05 UTC 2025","","test_first","",""
"description of test","708","test_login[firefox]","test","Thu Nov 20 03:12:01 UTC 2025","passed","Thu Nov 20 03:12:02 UTC 2025","","test_first","",""
"description of test","564","test_login[chromium]","test","Thu Nov 20 03:11:59 UTC 2025","passed","Thu Nov 20 03:12:00 UTC 2025","","test_first","",""
