"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","738","test_login[firefox]","test","Thu Sep 11 03:01:26 UTC 2025","passed","Thu Sep 11 03:01:27 UTC 2025","","test_first","",""
"description of test","682","test_login[chromium]","test","Thu Sep 11 03:01:24 UTC 2025","passed","Thu Sep 11 03:01:25 UTC 2025","","test_first","",""
"description of test","1228","test_login[webkit]","test","Thu Sep 11 03:01:32 UTC 2025","passed","Thu Sep 11 03:01:33 UTC 2025","","test_first","",""
