"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","430","test_login[chromium]","test","Tue Oct 14 03:03:51 UTC 2025","passed","Tue Oct 14 03:03:51 UTC 2025","","test_first","",""
"description of test","623","test_login[firefox]","test","Tue Oct 14 03:03:53 UTC 2025","passed","Tue Oct 14 03:03:53 UTC 2025","","test_first","",""
"description of test","2463","test_login[webkit]","test","Tue Oct 14 03:04:01 UTC 2025","passed","Tue Oct 14 03:04:03 UTC 2025","","test_first","",""
