"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","774","test_login[firefox]","test","Sat Jan 18 02:07:04 GMT 2025","passed","Sat Jan 18 02:07:05 GMT 2025","","test_first","",""
"description of test","2785","test_login[webkit]","test","Sat Jan 18 02:07:11 GMT 2025","passed","Sat Jan 18 02:07:14 GMT 2025","","test_first","",""
"description of test","472","test_login[chromium]","test","Sat Jan 18 02:07:02 GMT 2025","passed","Sat Jan 18 02:07:03 GMT 2025","","test_first","",""
