"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","922","test_login[webkit]","test","Wed Nov 12 03:14:47 UTC 2025","passed","Wed Nov 12 03:14:48 UTC 2025","","test_first","",""
"description of test","682","test_login[firefox]","test","Wed Nov 12 03:14:42 UTC 2025","passed","Wed Nov 12 03:14:42 UTC 2025","","test_first","",""
"description of test","451","test_login[chromium]","test","Wed Nov 12 03:14:40 UTC 2025","passed","Wed Nov 12 03:14:40 UTC 2025","","test_first","",""
