"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","726","test_login[firefox]","test","Sat Mar 14 04:12:54 UTC 2026","passed","Sat Mar 14 04:12:55 UTC 2026","","test_first","",""
"description of test","473","test_login[chromium]","test","Sat Mar 14 04:12:52 UTC 2026","passed","Sat Mar 14 04:12:52 UTC 2026","","test_first","",""
"description of test","812","test_login[webkit]","test","Sat Mar 14 04:12:59 UTC 2026","passed","Sat Mar 14 04:13:00 UTC 2026","","test_first","",""
