"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","1985","test_login[webkit]","test","Thu Jan 30 02:10:18 GMT 2025","passed","Thu Jan 30 02:10:20 GMT 2025","","test_first","",""
"description of test","678","test_login[firefox]","test","Thu Jan 30 02:10:13 GMT 2025","passed","Thu Jan 30 02:10:14 GMT 2025","","test_first","",""
"description of test","525","test_login[chromium]","test","Thu Jan 30 02:10:11 GMT 2025","passed","Thu Jan 30 02:10:12 GMT 2025","","test_first","",""
