"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","1075","test_login[webkit]","test","Sun Sep 28 08:08:55 UTC 2025","passed","Sun Sep 28 08:08:56 UTC 2025","","test_first","",""
"description of test","688","test_login[firefox]","test","Sun Sep 28 08:08:50 UTC 2025","passed","Sun Sep 28 08:08:50 UTC 2025","","test_first","",""
"description of test","458","test_login[chromium]","test","Sun Sep 28 08:08:48 UTC 2025","passed","Sun Sep 28 08:08:48 UTC 2025","","test_first","",""
