"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","563","test_login[chromium]","test","Sat Dec 06 03:12:17 UTC 2025","passed","Sat Dec 06 03:12:17 UTC 2025","","test_first","",""
"description of test","1001","test_login[firefox]","test","Sat Dec 06 03:12:19 UTC 2025","passed","Sat Dec 06 03:12:20 UTC 2025","","test_first","",""
"description of test","983","test_login[webkit]","test","Sat Dec 06 03:12:25 UTC 2025","passed","Sat Dec 06 03:12:26 UTC 2025","","test_first","",""
