"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","382","test_login[chromium]","test","Fri Feb 14 02:13:11 GMT 2025","passed","Fri Feb 14 02:13:11 GMT 2025","","test_first","",""
"description of test","667","test_login[webkit]","test","Fri Feb 14 02:13:15 GMT 2025","passed","Fri Feb 14 02:13:16 GMT 2025","","test_first","",""
"description of test","657","test_login[firefox]","test","Fri Feb 14 02:13:13 GMT 2025","passed","Fri Feb 14 02:13:13 GMT 2025","","test_first","",""
