"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","1228","test_login[webkit]","test","Sat Aug 09 03:15:06 GMT 2025","passed","Sat Aug 09 03:15:07 GMT 2025","","test_first","",""
"description of test","676","test_login[firefox]","test","Sat Aug 09 03:14:58 GMT 2025","passed","Sat Aug 09 03:14:59 GMT 2025","","test_first","",""
"description of test","461","test_login[chromium]","test","Sat Aug 09 03:14:56 GMT 2025","passed","Sat Aug 09 03:14:56 GMT 2025","","test_first","",""
