"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","441","test_login[chromium]","test","Thu Aug 14 03:15:47 UTC 2025","passed","Thu Aug 14 03:15:48 UTC 2025","","test_first","",""
"description of test","1551","test_login[webkit]","test","Thu Aug 14 03:15:56 UTC 2025","passed","Thu Aug 14 03:15:58 UTC 2025","","test_first","",""
"description of test","682","test_login[firefox]","test","Thu Aug 14 03:15:49 UTC 2025","passed","Thu Aug 14 03:15:50 UTC 2025","","test_first","",""
