"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","1081","test_login[webkit]","test","Fri May 09 03:07:37 GMT 2025","passed","Fri May 09 03:07:38 GMT 2025","","test_first","",""
"description of test","419","test_login[chromium]","test","Fri May 09 03:07:31 GMT 2025","passed","Fri May 09 03:07:32 GMT 2025","","test_first","",""
"description of test","678","test_login[firefox]","test","Fri May 09 03:07:33 GMT 2025","passed","Fri May 09 03:07:33 GMT 2025","","test_first","",""
