"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","549","test_login[chromium]","test","Tue Jul 29 03:47:26 GMT 2025","passed","Tue Jul 29 03:47:26 GMT 2025","","test_first","",""
"description of test","690","test_login[firefox]","test","Tue Jul 29 03:47:28 GMT 2025","passed","Tue Jul 29 03:47:29 GMT 2025","","test_first","",""
"description of test","1093","test_login[webkit]","test","Tue Jul 29 03:47:31 GMT 2025","passed","Tue Jul 29 03:47:32 GMT 2025","","test_first","",""
