"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","577","test_login[chromium]","test","Fri Nov 28 03:13:52 UTC 2025","passed","Fri Nov 28 03:13:53 UTC 2025","","test_first","",""
"description of test","776","test_login[webkit]","test","Fri Nov 28 03:13:59 UTC 2025","passed","Fri Nov 28 03:14:00 UTC 2025","","test_first","",""
"description of test","826","test_login[firefox]","test","Fri Nov 28 03:13:54 UTC 2025","passed","Fri Nov 28 03:13:55 UTC 2025","","test_first","",""
