"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"description of test","358","test_login[chromium]","test","Tue Apr 29 03:03:39 GMT 2025","passed","Tue Apr 29 03:03:40 GMT 2025","","test_first","",""
"description of test","2014","test_login[webkit]","test","Tue Apr 29 03:03:45 GMT 2025","passed","Tue Apr 29 03:03:47 GMT 2025","","test_first","",""
"description of test","650","test_login[firefox]","test","Tue Apr 29 03:03:41 GMT 2025","passed","Tue Apr 29 03:03:42 GMT 2025","","test_first","",""
